,Title,Cast and crew,genres,overview,releasedate,duration,director_name,actor_1_name,actor_2_name,actor_3_name
0,The 355,"Simon Kinberg (director/screenplay); Theresa Rebeck (screenplay); Jessica Chastain, Lupita Nyong'o, Penélope Cruz, Diane Kruger, Fan Bingbing, Sebastian Stan, Édgar Ramírez",Action Thriller,"A group of top female agents from American, British, Chinese, Columbian and German  government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos.",2022-01-05,122.0,Simon Kinberg,Jessica Chastain,Lupita Nyong'o,Penélope Cruz
1,The Legend of La Llorona,"Patricia Harris Seeley (director/screenplay); José Prendes, Cameron Larson (screenplay); Autumn Reeser, Antonio Cupo, Danny Trejo",Horror Thriller,"While vacationing in Mexico, a couple discovers their son's disappearance is tied to a supernatural curse.",2022-01-07,98.0,Patricia Harris Seeley,Autumn Reeser,Antonio Cupo,Danny Trejo
2,The Commando,"Asif Akbar (director); Koji Steven Sakai (screenplay); Mickey Rourke, Michael Jai White",Action Crime Thriller,"An elite DEA agent returns home after a failed mission when his family makes an unexpected discovery in their house – a stash of money worth $3 million. They soon face the danger and threat of a newly released criminal and his crew, who will do whatever it takes to retrieve the money, including kidnap the agent’s daughters. Stakes are high and lives are at risk in this head-to-head battle as the agent stops at nothing to protect his family against the money-hungry criminals.",2022-01-07,93.0,Asif Akbar,Mickey Rourke,Michael Jai White,
3,Scream,"Matt Bettinelli-Olpin, Tyler Gillett (director); James Vanderbilt, Guy Busick (screenplay); Melissa Barrera, Mason Gooding, Jenna Ortega, Jack Quaid, Marley Shelton, Courteney Cox, David Arquette, Neve Campbell",Horror Mystery Thriller,"Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.",2022-01-12,114.0,"Matt Bettinelli-Olpin, Tyler Gillett",Melissa Barrera,Mason Gooding,Jenna Ortega
4,Hotel Transylvania: Transformania,"Jennifer Kluska, Derek Drymon (directors); Amos Vernon, Nunzio Randazzo, Genndy Tartakovsky (screenplay); Andy Samberg, Selena Gomez, Kathryn Hahn, Jim Gaffigan, Steve Buscemi, Molly Shannon, David Spade, Keegan-Michael Key, Brian Hull, Fran Drescher, Brad Abrell, Asher Blinkoff, Tyler ""Ninja"" Blevins, Zoe Berri",Animation Family Fantasy Comedy Adventure,"When Van Helsing's mysterious invention, the ""Monsterfication Ray,"" goes haywire, Drac and his monster pals are all transformed into humans, and Johnny becomes a monster. In their new mismatched bodies, Drac and Johnny must team up and race across the globe to find a cure before it's too late, and before they drive each other crazy.",2022-02-25,87.0,"Jennifer Kluska, Derek Drymon",Andy Samberg,Selena Gomez,Kathryn Hahn
5,Shattered,"Luis Prieto (director); David Loughery (screenplay); Cameron Monaghan, Frank Grillo, Lilly Krug, John Malkovich",Thriller,"Chris, a wealthy divorcee, lives in a high-tech house of his own design in Montana. His life changes when he meets Sky, a mysterious young woman who draws him out of his shell and moves in after Chris is injured.",2022-01-14,92.0,Luis Prieto,Cameron Monaghan,Frank Grillo,Lilly Krug
6,The Royal Treatment,"Rick Jacobson (director); Holly Hester (screenplay); Laura Marano, Mena Massoud",Romance Comedy,"Isabella runs her own salon and isn’t afraid to speak her mind, while Prince Thomas runs his own country and is about to marry for duty rather than love. When Izzy and her fellow stylists get the opportunity of a lifetime to do the hair for the royal wedding, she and Prince Thomas learn that taking control of their own destiny requires following their hearts.",2022-01-20,96.0,Rick Jacobson,Laura Marano,Mena Massoud,
7,Redeeming Love,"D.J. Caruso (director/screenplay); Francine Rivers (screenplay); Abigail Cowen, Tom Lewis, Logan Marshall-Green, Ke-Xi Wu, Famke Janssen, Nina Dobrev, Eric Dane",Drama History Romance,A retelling of the biblical book of Hosea set against the backdrop of the California Gold Rush of 1850.,2022-01-21,134.0,D.J. Caruso,Abigail Cowen,Tom Lewis,Logan Marshall-Green
8,The King's Daughter,"Sean McNamara (director); Berry Berman, James Schamus (screenplay); Pierce Brosnan, Kaya Scodelario, Benjamin Walker, Rachel Griffiths, Julie Andrews, Fan Bingbing, William Hurt",Fantasy Drama Romance History,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",2022-01-21,94.0,Sean McNamara,Pierce Brosnan,Kaya Scodelario,Benjamin Walker
9,The Tiger Rising,"Ray Giarratana (director/screenplay); Christian Convery, Dennis Quaid, Queen Latifah, Madalen Mills, Katharine McPhee, Sam Trammell",Family Adventure,"When 12-year-old Rob Horton discovers a caged tiger in the woods near his home, his imagination runs wild and life begins to change in the most unexpected ways. With the help of a wise and mysterious maid, Willie May  and the stubborn new girl in school, he must navigate through childhood memories, heartache, and wondrous adventures.",2022-01-21,102.0,Ray Giarratana,Christian Convery,Dennis Quaid,Queen Latifah
10,The Fallout,"Megan Park (director/screenplay); Jenna Ortega, Maddie Ziegler, Niles Fitch, Will Ropp, John Ortiz, Julie Bowen, Shailene Woodley",Drama,"In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.",2022-01-28,96.0,Megan Park,Jenna Ortega,Maddie Ziegler,Niles Fitch
11,The Ice Age Adventures of Buck Wild,"John C. Donkin (director); Ray DeLaurentis, Jim Hecht, William Schifrin (screenplay); Simon Pegg, Utkarsh Ambudkar, Justina Machado, Vincent Tong",Animation Comedy Adventure Family,The fearless one-eyed weasel Buck teams up with mischievous possum brothers Crash & Eddie as they head off on a new adventure into Buck's home: The Dinosaur World.,2022-01-28,82.0,John C. Donkin,Simon Pegg,Utkarsh Ambudkar,Justina Machado
12,Home Team,"Charles Kinnane, Daniel Kinnane (director); Keith Blum, Chris Titone (screenplay); Kevin James, Taylor Lautner, Rob Schneider, Jackie Sandler, Tait Blum",Family Comedy,"Two years after a Super Bowl win when NFL head coach Sean Payton is suspended, he goes back to his hometown and finds himself reconnecting with his 12-year-old son by coaching his Pop Warner football team.",2022-01-28,95.0,"Charles Kinnane, Daniel Kinnane",Kevin James,Taylor Lautner,Rob Schneider
13,Clean,"Paul Solet (director/screenplay); Adrien Brody (screenplay); Adrien Brody, Glenn Fleshler, Mykelti Williamson, RZA",Crime Drama Thriller,"Tormented by a past life, garbage man Clean attempts a life of quiet redemption. But when his good intentions mark him a target of a local crime boss, Clean is forced to reconcile with the violence of his past",2021-01-28,93.0,Paul Solet,Adrien Brody,Glenn Fleshler,Mykelti Williamson
14,Sundown,"Michel Franco (director/screenplay); Tim Roth, Charlotte Gainsbourg",Romance Comedy,"High school seniors Logan and Blake prepare for an epic Spring Break as they travel to the beautiful and exotic Mexican beach resort of Puerto Vallarta hoping to hook up with their high school crushes. Surrounded by hot girls in teeny bikinis, the guys are truly in heaven. After meeting at a club, Logan falls for a mysterious local beauty named Gaby but then realizes the next morning, when his grandfather’s Rolex watch is missing, that she was after more than just his heart.",2016-05-16,103.0,Michel Franco,Tim Roth,Charlotte Gainsbourg,
15,Jackass Forever,"Jeff Tremaine (director); Johnny Knoxville, Spike Jonze (screenplay); Johnny Knoxville, Steve-O, Chris Pontius, Dave England, Wee Man, Danger Ehren, Preston Lacy",Comedy Documentary,"Celebrate the joy of a perfectly executed shot to the groin as Johnny Knoxville, Steve-O and the rest of the gang return alongside some newcomers for one final round of hilarious, wildly absurd and often dangerous displays of stunts and comedy.",2022-02-01,96.0,Jeff Tremaine,Johnny Knoxville,Steve-O,Chris Pontius
16,Moonfall,"Roland Emmerich (director/screenplay); Harald Kloser, Spenser Cohen (screenplay); Halle Berry, Patrick Wilson, John Bradley, Michael Peña, Charlie Plummer, Kelly Yu, Donald Sutherland",Action Adventure Science Fiction,A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.,2022-02-03,130.0,Roland Emmerich,Halle Berry,Patrick Wilson,John Bradley
17,Last Looks,"Tim Kirkby (director); Howard Michael Gould (screenplay); Charlie Hunnam, Mel Gibson, Morena Baccarin, Rupert Friend, Dominic Monaghan, Jacob Scipio, Clancy Brown",Action Crime Thriller Mystery,"A disgraced ex-cop seeks solace by moving to the woods, but his quiet life comes to an end when a private eye recruits him to investigate the murder of an eccentric TV star's wife.",2021-12-02,111.0,Tim Kirkby,Charlie Hunnam,Mel Gibson,Morena Baccarin
18,The Long Night,"Rich Ragsdale (director); Robert Sheppe, Mark Young (screenplay); Scout Taylor-Compton, Nolan Gerard Funk, Jeff Fahey, Deborah Kara Unger",Horror,A devoted couple's quiet weekend takes a bizarre turn when a nightmarish cult and their maniacal leader come to fulfill an apocalyptic prophesy.,2022-02-04,91.0,Rich Ragsdale,Scout Taylor-Compton,Nolan Gerard Funk,Jeff Fahey
19,Kimi,"Steven Soderbergh (director); David Koepp (screenplay); Zoë Kravitz, Rita Wilson, Byron Bowers",Thriller,"A tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. Seeking justice, she must do the thing she fears the most: she must leave her apartment.",2022-02-10,89.0,Steven Soderbergh,Zoë Kravitz,Rita Wilson,Byron Bowers
20,Shut In,"D.J. Caruso (director); Melanie Toast (screenplay); Rainey Qualley, Jake Horowitz, Luciana VanDette, Vincent Gallo",Drama Thriller,"A widowed child psychologist lives in an isolated existence in rural New England. When caught in a deadly winter storm, she must find a way to rescue a young boy before he disappears forever.",2016-11-11,91.0,D.J. Caruso,Rainey Qualley,Jake Horowitz,Luciana VanDette
21,Death on the Nile,"Kenneth Branagh (director); Michael Green (screenplay); Tom Bateman, Annette Bening, Kenneth Branagh, Russell Brand, Ali Fazal, Dawn French, Gal Gadot, Armie Hammer, Rose Leslie, Emma Mackey, Sophie Okonedo, Jennifer Saunders, Letitia Wright",Crime Drama Mystery Thriller,Belgian sleuth Hercule Poirot boards a glamorous river steamer with enough champagne to fill the Nile. But his Egyptian vacation turns into a thrilling search for a murderer when a picture-perfect couple’s idyllic honeymoon is tragically cut short.,2022-02-09,127.0,Kenneth Branagh,Tom Bateman,Annette Bening,Kenneth Branagh
